name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2023-04-01,21.9,12,15.8,21.9,12,15.8,9.5,68.6,8.52,100,37.5,rain,0,0,61.2,25.9,221.9,1000.3,82.6,13.9,120.3,10.2,7,10,2023-04-01T06:39:52,2023-04-01T19:20:41,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-04-02,11.4,4.7,8.3,11.4,-0.4,5.8,-7.7,34.8,0.423,100,4.17,rain,0,0,57.6,31.9,304.3,1010.8,32.8,16,275.2,24,9,10,2023-04-02T06:38:14,2023-04-02T19:21:44,0.39,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-04-03,14.5,4,9.2,14.5,1.6,8.5,-3.7,41.2,0,0,0,,0,0,42.5,23.8,142.5,1019,13.9,16,253,21.9,9,10,2023-04-03T06:36:36,2023-04-03T19:22:47,0.42,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-04-04,22.2,8.9,15.3,22.2,8.2,15.2,9,67.4,0,0,0,,0,0,20.5,16.6,98.7,1016.5,35.5,15.6,234.5,20.1,8,10,2023-04-04T06:34:58,2023-04-04T19:23:50,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-04-05,14.3,8.2,10.4,14.3,5.9,9.4,8.3,87.1,0.034,100,4.17,rain,0,0,48.1,24.4,57.5,1022.6,94.1,6.9,42.6,3.6,1,10,2023-04-05T06:33:21,2023-04-05T19:24:53,0.48,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-04-06,25.6,8.1,15.3,25.6,5.7,14.9,9.8,72.8,0,0,0,,0,0,46.4,27.7,341.7,1019.7,85,8.7,143.4,12.5,6,10,2023-04-06T06:31:44,2023-04-06T19:25:55,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-04-07,16.2,7.9,12.3,16.2,5.6,11.9,-6.4,27.5,0,0,0,,0,0,42.5,25.5,312.2,1026,59.9,16,89.8,7.7,3,10,2023-04-07T06:30:08,2023-04-07T19:26:58,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-04-08,11,3.5,7.3,11,0.2,5.6,-8,33.7,0,0,0,,0,0,50,23.1,347.4,1031.5,35.9,16,228.1,19.8,8,10,2023-04-08T06:28:32,2023-04-08T19:28:01,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-04-09,12,4.8,8,12,3.2,7,-3.9,44,0,0,0,,0,0,31.7,22,79.8,1032.1,14.8,16,279.4,24.1,9,10,2023-04-09T06:26:56,2023-04-09T19:29:04,0.62,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-04-10,18.7,5.7,11.6,18.7,4.2,10.9,-1.4,44.3,0,0,0,,0,0,35.3,19.2,218.4,1029.6,5.9,16,277.4,23.8,9,10,2023-04-10T06:25:21,2023-04-10T19:30:07,0.66,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-04-11,23.4,10.6,17.4,23.4,10.6,17.4,-3.9,25.2,0,0,0,,0,0,47.8,28.5,237.8,1019.5,24.8,16,237.3,20.5,9,10,2023-04-11T06:23:47,2023-04-11T19:31:10,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-04-12,28.8,18.6,23.2,27.2,18.6,22.8,1.1,23.6,0,0,0,,0,0,50,23.1,273.5,1010.3,25.1,16,256.6,22.3,9,10,2023-04-12T06:22:13,2023-04-12T19:32:12,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-04-13,31.9,19.3,26,29.8,19.3,25.2,5.3,27.8,0,0,0,,0,0,40.7,25.2,253.2,1010.3,3.7,16,279.3,24.2,9,10,2023-04-13T06:20:39,2023-04-13T19:33:15,0.75,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-04-14,32.1,20.4,26.2,30,20.4,25.5,5.9,28.1,0,0,0,,0,0,33.5,21.7,223,1010.7,24.3,16,269.5,23.4,9,10,2023-04-14T06:19:07,2023-04-14T19:34:18,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-04-15,23.7,15,19.4,23.7,15,19.4,13.8,71.6,0.926,100,16.67,rain,0,0,22.3,16.9,99.2,1011.9,72.2,14.4,168.4,14.5,8,10,2023-04-15T06:17:34,2023-04-15T19:35:21,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-04-16,20.6,14.2,16.7,20.6,14.2,16.7,13.2,80.4,0,0,0,,0,0,16.6,13.3,84.6,1009.6,90.3,11.4,193.9,16.8,7,10,2023-04-16T06:16:03,2023-04-16T19:36:24,0.87,Overcast,Cloudy skies throughout the day.,cloudy,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-04-17,19.5,12,14.7,19.5,12,14.7,7.9,69.7,0.195,100,8.33,rain,0,0,47.9,25.6,293,1003.1,90.1,9.9,123,10.7,8,10,2023-04-17T06:14:32,2023-04-17T19:37:27,0.91,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-04-18,14.2,8.5,11.4,14.2,5.5,11,-1.4,41.3,0,0,0,,0,0,52.1,29.5,269.8,1007.6,50,16,125.8,11,5,10,2023-04-18T06:13:02,2023-04-18T19:38:30,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-04-19,18,7.6,11.5,18,5.3,10.4,-1.3,42.3,0,0,0,,0,0,40.7,23.1,280.8,1016.7,52.5,16,241.5,21,9,10,2023-04-19T06:11:33,2023-04-19T19:39:33,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-04-20,17.7,7.2,12,17.7,4.9,11.5,1.4,49.4,0,0,0,,0,0,18.4,16.6,50.5,1022,30.8,16,247.6,21.3,9,10,2023-04-20T06:10:05,2023-04-20T19:40:36,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-04-21,20.4,10.7,15,20.4,10.7,15,7.5,61.9,0,0,0,,0,0,35.3,22.8,86.1,1018.3,34.8,15.9,270,23.5,9,10,2023-04-21T06:08:37,2023-04-21T19:41:39,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-04-22,19,10.7,13.9,19,10.7,13.9,10.7,81.8,10.199,100,12.5,rain,0,0,50,21.3,65.2,1013.9,90.7,11.2,220.5,19.1,8,10,2023-04-22T06:07:11,2023-04-22T19:42:41,0.08,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-04-23,19.6,12.3,14.9,19.6,12.3,14.9,9.2,72.5,38.326,100,50,rain,0,0,47.9,20,343.9,1010.8,88.5,11.7,179.4,15.5,10,10,2023-04-23T06:05:45,2023-04-23T19:43:44,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-04-24,15.9,7.5,11.8,15.9,5.2,11.2,-0.2,46.5,0,0,0,,0,0,42.5,18.1,300.2,1016.8,40.8,16,248.2,21.6,10,10,2023-04-24T06:04:20,2023-04-24T19:44:47,0.14,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-04-25,14.9,8.2,11.8,14.9,6.8,11.5,-0.6,43.6,0,0,0,,0,0,29.5,11.7,331.7,1020.7,57.3,16,179.5,15.4,8,10,2023-04-25T06:02:57,2023-04-25T19:45:50,0.18,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-04-26,14.1,7.9,11.4,14.1,7.2,11.2,2.8,56.4,0,0,0,,0,0,31.7,18.1,88.4,1023,60,16,206.3,17.8,8,10,2023-04-26T06:01:34,2023-04-26T19:46:53,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-04-27,13.5,10.7,11.8,13.5,10.7,11.8,6.9,71.7,0,0,0,,0,0,20.5,15.3,106.2,1022.6,81.7,15.7,80.4,7.1,4,10,2023-04-27T06:00:12,2023-04-27T19:47:56,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-04-28,13,8.8,11.1,13,6.4,10.7,5.3,69.5,4.737,100,16.67,rain,0,0,38.9,16.9,78.7,1020.9,72.6,14.5,77.1,6.5,3,10,2023-04-28T05:58:51,2023-04-28T19:48:58,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-04-29,11.8,9,10.3,11.8,6,9.5,9.3,93.4,69.164,100,100,rain,0,0,48.2,21.8,63.6,1012.5,100,4.2,38,3.4,2,10,2023-04-29T05:57:32,2023-04-29T19:50:01,0.31,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-04-30,15.9,10.1,12.5,15.9,10.1,12.5,11.7,95.2,59.095,100,50,rain,0,0,46.4,21.6,59.9,999.5,100,4.2,42.8,3.6,2,10,2023-04-30T05:56:13,2023-04-30T19:51:03,0.34,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,F8726,KNYC,F1417,72503014732"
New York,2023-05-01,16.5,9.7,13.7,16.5,7.7,13.6,4.4,56.4,1.992,100,16.67,rain,0,0,49,31.7,244,991.5,76.9,14.7,204.7,17.8,7,10,2023-05-01T05:54:56,2023-05-01T19:52:06,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-05-02,13.6,8.4,10.9,13.6,6.5,10.5,4,63.8,4.344,100,20.83,rain,0,0,46.1,27.4,237.6,995.7,81.3,15.7,135.1,11.8,6,10,2023-05-02T05:53:40,2023-05-02T19:53:08,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
New York,2023-05-03,13.5,8.5,10.7,13.5,5.9,10.1,3,59.6,0,0,0,,0,0,38.9,16.9,266.9,999,84.1,16,131.2,11.4,4,10,2023-05-03T05:52:25,2023-05-03T19:54:10,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,F1417,72503014732"
